영화명,매출액,관객수,대표국적,배급사,제작국가,감독,장르1,장르2,장르3,장르4,장르5,장르6,장르7
명량,1.36E+11,17613682,3,3,한국,2.4,사극,액션,,,,,
베테랑,1.05E+11,13414009,3,3,한국,2.8,액션,드라마,,,,,
도둑들,93664808500,12983178,3,2.9,"한국,홍콩",3,액션,범죄,,,,,
7번방의 선물,91431914670,12811206,3,2.8,한국,0.8,코미디,드라마,,,,,
암살,98463132781,12705700,3,2.9,한국,3,액션,드라마,,,,,
"광해, 왕이 된 남자",88899448769,12319390,3,3,한국,1.3,사극,드라마,,,,,
신과함께-인과 연,1.03E+11,12274163,3,2.7,한국,2.7,판타지,드라마,,,,,
택시운전사,95853645649,12186327,3,2.9,한국,2.1,드라마,,,,,,
부산행,93178283048,11565479,3,2.8,한국,0.4,액션,스릴러,,,,,
해운대,81025004000,11324433,3,2.6,한국,2.2,액션,드라마,어드벤처,,,,
어벤져스: 인피니티 워,99926399769,11212710,2,2.5,미국,1.8,액션,어드벤처,판타지,SF,,,
괴물,66715713300,10917153,3,2.9,한국,2.3,SF,가족,드라마,,,,
어벤져스: 에이지 오브 울트론,88582586366,10494499,2,2.5,미국,1.2,액션,어드벤처,판타지,SF,,,
겨울왕국,82461504400,10296101,2,2.3,미국,"크리스 벅,제니퍼 리",애니메이션,어드벤처,가족,코미디,뮤지컬,판타지,
인터스텔라,80671424300,10105247,2,2.2,"미국,영국",2.6,SF,,,,,,
왕의 남자,61605851900,9793917,3,2.1,한국,2.5,드라마,,,,,,
검사외전,77320403264,9707581,3,2.9,한국,이일형,범죄,코미디,,,,,
설국열차,67010087500,9349993,3,3,한국,2.3,SF,액션,,,,,
관상,66005427500,9134581,3,2.9,한국,한재림,사극,드라마,,,,,
아이언맨 3,70806364000,9001331,2,2.3,미국,쉐인 블랙,액션,어드벤처,SF,,,,
국제시장,69841376134,8915904,3,3,한국,2.2,드라마,,,,,,
캡틴 아메리카: 시빌 워,72672111827,8677249,2,2.5,미국,1.8,액션,SF,스릴러,,,,
해적: 바다로 간 산적,66370682706,8666046,3,2,한국,1.7,어드벤처,,,,,,
수상한 그녀,62705348249,8657982,3,3,한국,1.4,드라마,,,,,,
신과함께-죄와 벌,68350496432,8539495,3,2,한국,2.7,판타지,드라마,,,,,
아바타,81455728000,8151952,2,0.4,미국,제임스 카메론,SF,액션,어드벤처,,,,
국가대표,57570773000,8035181,3,2.9,한국,2.7,드라마,액션,코미디,,,,
디워,49339934700,7855441,3,2.9,한국,심형래,액션,판타지,,,,,
공조,63783051326,7817618,3,3,한국,1.9,액션,,,,,,
트랜스포머 3,74840681500,7784743,2,3,미국,2.9,액션,어드벤처,,,,,
밀정,61269783831,7500420,3,2.2,한국,김지운,액션,,,,,,
최종병기 활,55827861500,7470633,3,2,한국,2.4,사극,액션,,,,,
트랜스포머: 패자의 역습,50697608000,7392990,2,2.6,미국,2.9,SF,액션,어드벤처,,,,
트랜스포머,47619379338,7389696,2,2.6,미국,2.9,SF,액션,어드벤처,,,,
써니,54035565100,7362657,3,3,한국,1.1,드라마,코미디,,,,,
스파이더맨: 홈 커밍,59125813820,7258678,2,1.8,미국,존 와츠,액션,어드벤처,SF,,,,
베를린,52355568637,7166290,3,3,한국,2.8,액션,,,,,,
터널,57529484417,7120508,3,2.9,한국,1.9,드라마,,,,,,
어벤져스,59557853478,7074867,2,1.7,미국,1.2,액션,SF,,,,,
내부자들,56465665657,7055332,3,2.9,한국,우민호,범죄,드라마,,,,,
